epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.44,1.04419,2.14314,1.64164,0.38509,0.4042,0.29516,0.13843,2.03861,2.50489,2.70073,0.000551861,0.000551861,0.000551861
2,85.0481,1.06839,1.71629,1.63871,0.66178,0.44457,0.42422,0.21979,1.6714,1.95388,2.34215,0.00108012,0.00108012,0.00108012
3,127.027,1.07098,1.57712,1.64236,0.44718,0.54054,0.40626,0.20555,1.66877,1.99994,2.18249,0.00158087,0.00158087,0.00158087
4,168.19,1.07364,1.49975,1.6404,0.56941,0.50904,0.47128,0.24224,1.53653,1.59716,2.37433,0.00154323,0.00154323,0.00154323
5,209.237,1.0192,1.4438,1.60477,0.51198,0.57959,0.50361,0.29106,1.62063,1.62874,2.17309,0.00150197,0.00150197,0.00150197
6,249.818,1.02938,1.43261,1.59876,0.45377,0.56472,0.46582,0.22878,1.94892,1.70401,2.46152,0.00146071,0.00146071,0.00146071
7,291.39,0.98418,1.38276,1.57568,0.5125,0.62067,0.56558,0.30435,1.5044,1.59761,2.1782,0.00141945,0.00141945,0.00141945
8,332.332,0.9724,1.33737,1.56881,0.61115,0.58451,0.55862,0.31896,1.61119,1.62767,2.15247,0.00137819,0.00137819,0.00137819
9,373.333,0.95943,1.32425,1.55158,0.68265,0.64965,0.62466,0.36266,1.52516,1.43005,2.12815,0.00133693,0.00133693,0.00133693
10,413.987,0.92924,1.32107,1.53606,0.64048,0.67056,0.64557,0.37818,1.54245,1.25433,2.10959,0.00129568,0.00129568,0.00129568
11,454.704,0.92131,1.29494,1.52329,0.63669,0.6474,0.60278,0.33275,1.59164,1.32335,2.38237,0.00125442,0.00125442,0.00125442
12,495.564,0.88085,1.26529,1.50615,0.48867,0.63863,0.56933,0.34916,1.48179,1.57262,2.04675,0.00121316,0.00121316,0.00121316
13,536.621,0.88988,1.24449,1.50146,0.67386,0.63793,0.63623,0.38216,1.54992,1.2856,2.09695,0.0011719,0.0011719,0.0011719
14,578.287,0.87331,1.23106,1.48932,0.60639,0.60145,0.58116,0.34342,1.53444,1.44504,2.03442,0.00113064,0.00113064,0.00113064
15,619.904,0.85019,1.18356,1.47569,0.56983,0.66495,0.60605,0.34563,1.6706,1.42435,2.14665,0.00108938,0.00108938,0.00108938
16,661.736,0.85326,1.18891,1.48109,0.57158,0.66948,0.62973,0.39562,1.43265,1.31562,1.93032,0.00104813,0.00104813,0.00104813
17,702.809,0.86137,1.18576,1.48456,0.65573,0.68925,0.65732,0.3969,1.50753,1.27493,2.08292,0.00100687,0.00100687,0.00100687
18,744.395,0.82948,1.17315,1.45871,0.66109,0.67782,0.64534,0.40528,1.40845,1.22548,1.96484,0.00096561,0.00096561,0.00096561
19,785.974,0.83471,1.15085,1.46145,0.64488,0.66471,0.64913,0.38842,1.44935,1.30386,1.92937,0.000924352,0.000924352,0.000924352
20,827.902,0.8288,1.14227,1.45344,0.66244,0.61589,0.63664,0.38066,1.46821,1.39641,1.91979,0.000883093,0.000883093,0.000883093
21,871.312,0.83074,1.13659,1.45461,0.71554,0.62319,0.67239,0.41223,1.43093,1.25215,1.93306,0.000841835,0.000841835,0.000841835
22,912.952,0.81335,1.13338,1.44303,0.65027,0.67671,0.67873,0.41783,1.44594,1.2874,1.92015,0.000800577,0.000800577,0.000800577
23,954.182,0.79185,1.11632,1.43535,0.63,0.69715,0.69927,0.41717,1.41542,1.18341,1.96957,0.000759318,0.000759318,0.000759318
24,995.089,0.78452,1.104,1.42451,0.67852,0.62089,0.65341,0.3922,1.48652,1.25322,2.02083,0.00071806,0.00071806,0.00071806
25,1036.42,0.78562,1.07864,1.42072,0.61969,0.67726,0.6522,0.40935,1.46129,1.21031,1.96941,0.000676802,0.000676802,0.000676802
26,1077.87,0.77879,1.06619,1.41692,0.62642,0.66608,0.67541,0.41448,1.3652,1.25432,1.89481,0.000635544,0.000635544,0.000635544
27,1120.08,0.75999,1.04813,1.40143,0.60139,0.73006,0.68732,0.40515,1.43918,1.22523,1.9745,0.000594286,0.000594286,0.000594286
28,1161.97,0.75042,1.01392,1.39623,0.60336,0.71938,0.67467,0.41469,1.35139,1.18785,1.90759,0.000553027,0.000553027,0.000553027
29,1203.98,0.74353,1.00124,1.3906,0.68892,0.64555,0.6835,0.42922,1.37868,1.21773,1.88874,0.000511769,0.000511769,0.000511769
30,1245.76,0.74153,0.9994,1.38883,0.6743,0.68455,0.68442,0.42945,1.30748,1.1818,1.8582,0.000470511,0.000470511,0.000470511
31,1288.16,0.84326,0.89703,1.66479,0.55625,0.71741,0.65781,0.41557,1.32391,1.24891,1.82274,0.000429253,0.000429253,0.000429253
32,1328.28,0.80481,0.80621,1.6278,0.58239,0.71795,0.68606,0.42861,1.35892,1.17418,1.89126,0.000387994,0.000387994,0.000387994
33,1368.01,0.79691,0.7898,1.61633,0.61711,0.70295,0.66626,0.40955,1.37771,1.2067,1.91478,0.000346736,0.000346736,0.000346736
34,1407.63,0.7549,0.74732,1.57473,0.61759,0.74978,0.69372,0.43968,1.28955,1.17526,1.82125,0.000305478,0.000305478,0.000305478
35,1447.2,0.74159,0.72144,1.56292,0.5858,0.76917,0.64947,0.41255,1.34635,1.19068,1.90825,0.00026422,0.00026422,0.00026422
36,1486.71,0.73716,0.69738,1.55102,0.63279,0.71973,0.68194,0.42496,1.34043,1.16875,1.8802,0.000222961,0.000222961,0.000222961
37,1526.28,0.7232,0.68391,1.53153,0.6158,0.76682,0.69672,0.44148,1.31162,1.18946,1.8788,0.000181703,0.000181703,0.000181703
38,1565.52,0.69949,0.65733,1.51376,0.66972,0.69818,0.69698,0.43502,1.36001,1.16153,1.91056,0.000140445,0.000140445,0.000140445
39,1605.19,0.6958,0.64792,1.50662,0.70397,0.65524,0.67571,0.41546,1.38238,1.18971,1.93626,9.91865e-05,9.91865e-05,9.91865e-05
40,1644.65,0.67673,0.61164,1.48801,0.65385,0.7311,0.68964,0.42908,1.36578,1.18918,1.92478,5.79283e-05,5.79283e-05,5.79283e-05
