epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7193,2.38689,4.64156,1.44364,0.01334,0.41687,0.08534,0.03275,2.05667,3.49258,1.53883,0.000253169,0.000253169,0.000253169
2,49.1081,2.2628,3.35617,1.35892,0.39608,0.05967,0.05184,0.02225,2.13596,2.8091,1.54884,0.000496892,0.000496892,0.000496892
3,71.9313,2.20894,3.02755,1.32538,0.64678,0.22387,0.17259,0.06724,2.23647,3.38952,1.62166,0.000727927,0.000727927,0.000727927
4,95.3977,2.16775,2.74715,1.33991,0.93547,0.06667,0.1439,0.03947,2.27881,2.93053,1.60156,0.000711902,0.000711902,0.000711902
5,118.893,2.14174,2.48189,1.28668,0.62695,0.19712,0.1583,0.06004,2.18135,3.02984,1.50526,0.000692869,0.000692869,0.000692869
6,142.223,2.11486,2.34774,1.27464,0.17572,0.20226,0.15523,0.05525,2.10854,2.92425,1.45891,0.000673836,0.000673836,0.000673836
7,164.796,2.05142,2.22707,1.25568,0.20757,0.18072,0.12967,0.05629,2.09003,2.88967,1.51795,0.000654804,0.000654804,0.000654804
8,187.364,2.03927,2.08934,1.23165,0.29272,0.20518,0.21445,0.12333,2.04953,2.8261,1.45395,0.000635771,0.000635771,0.000635771
9,210.644,1.96582,1.95792,1.2126,0.2814,0.3037,0.22833,0.09824,2.04363,2.59136,1.4215,0.000616738,0.000616738,0.000616738
10,233.976,1.94847,1.88188,1.20392,0.11932,0.16214,0.09088,0.03749,2.1616,2.90718,1.5348,0.000597705,0.000597705,0.000597705
11,256.119,1.94111,1.82478,1.20183,0.14435,0.21975,0.09608,0.04988,2.01501,2.94864,1.38473,0.000578672,0.000578672,0.000578672
12,279.333,1.92378,1.75602,1.18389,0.10844,0.14486,0.08807,0.03664,2.07607,2.6863,1.50134,0.00055964,0.00055964,0.00055964
13,304.965,1.86962,1.69202,1.17208,0.1826,0.15309,0.13937,0.06322,2.06297,2.58736,1.46989,0.000540607,0.000540607,0.000540607
14,328.663,1.86678,1.63258,1.16488,0.32754,0.09136,0.10264,0.05243,2.07635,2.86068,1.46116,0.000521574,0.000521574,0.000521574
